node1,node2,relationship_type,weight
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,user::pooja_devi,reviewed,1.0
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,user::stella_sharon,reviewed,1.0
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,user::saravanan_manohar,reviewed,1.0
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,user::beardless_tripy_venkateshprasath,reviewed,1.0
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,user::gowri_shankar,reviewed,1.0
place::ChIJYcmgkrEXrjsRLJXEahB3kOs,user::devarshi_raj,reviewed,1.0
place::ChIJYcmgkrEXrjsRLJXEahB3kOs,user::dr_kartik_bhadra,reviewed,1.0
place::ChIJYcmgkrEXrjsRLJXEahB3kOs,user::santhosh_sankaran,reviewed,1.0
place::ChIJYcmgkrEXrjsRLJXEahB3kOs,user::neelesh_panchal,reviewed,1.0
place::ChIJYcmgkrEXrjsRLJXEahB3kOs,user::anupam_purbey,reviewed,1.0
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,user::raghu_b,reviewed,1.0
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,user::hari_trivedi,reviewed,1.0
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,user::akhilesh_prajapati,reviewed,1.0
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,user::shibin_as,reviewed,1.0
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,user::narayanamurthy_subramanian,reviewed,1.0
place::ChIJq0u5QegpBDsRAjW5G91ajmk,user::hari_trivedi,reviewed,1.0
place::ChIJq0u5QegpBDsRAjW5G91ajmk,user::raghu_b,reviewed,1.0
place::ChIJq0u5QegpBDsRAjW5G91ajmk,user::ramesh_kumar,reviewed,1.0
place::ChIJq0u5QegpBDsRAjW5G91ajmk,user::athulya_vijayan,reviewed,1.0
place::ChIJq0u5QegpBDsRAjW5G91ajmk,user::raj_p,reviewed,1.0
place::ChIJOXLCPOgpBDsR1ahseikbHMM,user::senthil_kumar_manickam,reviewed,1.0
place::ChIJOXLCPOgpBDsR1ahseikbHMM,user::abhishek_anil,reviewed,1.0
place::ChIJOXLCPOgpBDsR1ahseikbHMM,user::sesha_srinivasa_murthy_putrevu,reviewed,1.0
place::ChIJOXLCPOgpBDsR1ahseikbHMM,user::subrata_b,reviewed,1.0
place::ChIJOXLCPOgpBDsR1ahseikbHMM,user::shravan_srinivasan,reviewed,1.0
place::ChIJEU6I6hKDBjsRvMeXfF6jNy8,user::karthick,reviewed,1.0
place::ChIJEU6I6hKDBjsRvMeXfF6jNy8,user::bharani_t,reviewed,1.0
place::ChIJEU6I6hKDBjsRvMeXfF6jNy8,user::abhishek_vijayan,reviewed,1.0
place::ChIJEU6I6hKDBjsRvMeXfF6jNy8,user::praveen_kumar_raja,reviewed,1.0
place::ChIJEU6I6hKDBjsRvMeXfF6jNy8,user::prakash_ntk,reviewed,1.0
place::ChIJA9XmEZaXBjsREmckXJgSs8g,user::raghu_b,reviewed,1.0
place::ChIJA9XmEZaXBjsREmckXJgSs8g,user::sathishkumar_balakrishnan,reviewed,1.0
place::ChIJA9XmEZaXBjsREmckXJgSs8g,user::rahul_s,reviewed,1.0
place::ChIJA9XmEZaXBjsREmckXJgSs8g,user::chitra_murali,reviewed,1.0
place::ChIJA9XmEZaXBjsREmckXJgSs8g,user::venkat,reviewed,1.0
place::ChIJSbdL6FwpBDsRe3ls0A6mwDI,user::mukilan_s,reviewed,1.0
place::ChIJSbdL6FwpBDsRe3ls0A6mwDI,user::shotsby_senthil,reviewed,1.0
place::ChIJSbdL6FwpBDsRe3ls0A6mwDI,user::mohammed_nayeem,reviewed,1.0
place::ChIJSbdL6FwpBDsRe3ls0A6mwDI,user::pooshan_d,reviewed,1.0
place::ChIJSbdL6FwpBDsRe3ls0A6mwDI,user::hassan_sowkath,reviewed,1.0
place::ChIJ1WAtoyzvBTsR_KDWpC-b72Q,user::sreehari_v_bhoopesh,reviewed,1.0
